room_id,building,room_no,occupancy,sq_footage,res_college,taken
3106,ADDY,A610,1,128,New College West,false
3192,JOSE ENRIQUE FELICIANO,D606,1,152,New College West,false
3216,KWANZA MARION JONES,C113,1,142,New College West,false
3167,ALIYA KANJI,B514,1,152,New College West,false
573,1901,114,1,191,Upperclass,false
618,1901,333,1,144,Upperclass,false
614,1901,324,2,246,Upperclass,false
609,1901,313,2,364,Upperclass,false
596,1901,221,2,331,Upperclass,false
576,1901,117,2,370,Upperclass,false
571,1901,112,2,402,Upperclass,false
574,1901,115,2,380,Upperclass,false
606,1901,301,4,556,Upperclass,false
637,1903,123,4,503,Upperclass,false
585,1901,131,4,482,Upperclass,false
588,1901,141,4,799,Upperclass,false
580,1901,122,4,503,Upperclass,false
3107,ADDY,A613,1,131,New College West,false
3108,ADDY,A615,2,308,New College West,false
2330,1903,412,DA,221,Upperclass,false
3104,ADDY,A606,2,305,New College West,false
3105,ADDY,A609,2,306,New College West,false
3100,ADDY,A508,4,494,New College West,false
3101,ADDY,A515,4,707,New College West,false
3162,ALIYA KANJI,B508,1,164,New College West,false
3191,JOSE ENRIQUE FELICIANO,D605A,1,270,New College West,false
3219,KWANZA MARION JONES,C119,1,155,New College West,false
3232,KWANZA MARION JONES,C219A,1,155,New College West,false
3213,KWANZA MARION JONES,C103,1,152,New College West,false
3183,JOSE ENRIQUE FELICIANO,D505B,1,172,New College West,false
3195,JOSE ENRIQUE FELICIANO,D614,1,164,New College West,false
162,BOGLE,C202,4,580,Butler College,false
1589,FISHER,A321,1,120,Whitman College,false
223,FORBES,251,2,293,Forbes College,false
308,FORBES,A377,2,279,Forbes College,false
235,FORBES,268,2,295,Forbes College,false
1599,HARGADON,G304B,1,220,Whitman College,false
3185,JOSE ENRIQUE FELICIANO,D510,4,459,New College West,false
3186,JOSE ENRIQUE FELICIANO,D512,4,482,New College West,false
3176,JOSE ENRIQUE FELICIANO,D313,2,295,New College West,false
3228,KWANZA MARION JONES,C214,4,731,New College West,false
3248,KWANZA MARION JONES,C501,4,455,New College West,false
1131,PATTON,312,2,284,Upperclass,false
1222,PYNE,443,2,319,Upperclass,false
1307,SCULLY,168,2,278,Upperclass,false
1341,SCULLY,270,2,278,Upperclass,false
1998,SCULLY,349,2,280,Upperclass,false
1379,SCULLY,366,2,278,Upperclass,false
1449,SPELMAN,67,4,930,Upperclass,false
2039,WITHERSPOON,522,2,284,Rockefeller College,false
555,WITHERSPOON,403,4,650,Rockefeller College,false
558,WITHERSPOON,501,4,532,Rockefeller College,false
1010,LAUGHLIN,617,3,485,Upperclass,false
675,1903,324,3,389,Upperclass,false
672,1903,314,3,394,Upperclass,false
1134,PATTON,T01,3,395,Upperclass,false
669,1903,311,3,396,Upperclass,false
1136,PATTON,T03,3,419,Upperclass,false
269,FORBES,A223,3,289,Forbes College,false
781,CUYLER,322,3,416,Upperclass,false
287,FORBES,A256,1,169,Forbes College,false
289,FORBES,A258,1,180,Forbes College,false
1942,CUYLER,432,1,164,Upperclass,false
792,CUYLER,435,1,120,Upperclass,false
382,EDWARDS,505,1,157,Mathey College,false
391,EDWARDS,514,1,158,Mathey College,false
372,EDWARDS,112,1,121,Mathey College,false
809,CUYLER,633,1,226,Upperclass,false
311,FORBES,A426,1,180,Forbes College,false
892,FOULKE,204,1,179,Upperclass,false
925,FOULKE,334,1,198,Upperclass,false
1546,BAKER,E309,1,146,Whitman College,false
1528,BAKER,E113,1,220,Whitman College,false
1534,BAKER,E206,1,215,Whitman College,false
3153,ALIYA KANJI,B410B,1,153,New College West,false
704,1903,531,1,207,Upperclass,false
1500,1981,F107,1,131,Whitman College,false
1391,SCULLY,405,1,134,Upperclass,false
1393,SCULLY,408,1,134,Upperclass,false
1285,SCULLY,118,1,147,Upperclass,false
98,BLOOMBERG,334,1,166,Butler College,false
64,BLOOMBERG,226,1,145,Butler College,false
1815,BLOOMBERG,413,1,225,Butler College,false
116,BLOOMBERG,374,1,132,Butler College,false
2558,FEINBERG,202,4,610,Upperclass,false
135,BLOOMBERG,436,1,153,Butler College,false
2704,BLOOMBERG,434,1,178,Butler College,false
143,BLOOMBERG,456,1,153,Butler College,false
1646,WENDELL,B210,1,147,Whitman College,false
1660,WENDELL,B407,1,206,Whitman College,false
528,WITHERSPOON,6,1,169,Rockefeller College,false
1974,SCULLY,126,1,148,Upperclass,false
1333,SCULLY,260,1,151,Upperclass,false
1679,WENDELL,C206,1,143,Whitman College,false
1402,SCULLY,430,1,134,Upperclass,false
1939,SCULLY,221,1,190,Upperclass,false
549,WITHERSPOON,306,1,113,Rockefeller College,false
564,WITHERSPOON,510,1,116,Rockefeller College,false
1617,LAURITZEN,D110,1,148,Whitman College,false
1627,LAURITZEN,D303,1,117,Whitman College,false
446,LITTLE,311,1,131,Mathey College,false
519,HOLDER,116,1,176,Rockefeller College,false
1070,LOCKHART,221,1,188,Upperclass,false
1418,SPELMAN,17,4,930,Upperclass,false
1414,SPELMAN,13,4,930,Upperclass,false
362,CAMPBELL,52A,1,117,Mathey College,false
481,CAMPBELL,3C,1,171,Rockefeller College,false
955,HENRY,205,1,198,Upperclass,false
1242,PYNE,633,1,215,Upperclass,false
2184,PATTON,T5,1,195,Upperclass,true
1776,FEINBERG,301,4,617,Upperclass,false
2557,FEINBERG,201,4,610,Upperclass,false
2556,FEINBERG,1,4,621,Upperclass,false
1779,FEINBERG,402,6,881,Upperclass,false
1777,FEINBERG,302,4,606,Upperclass,false
2559,FEINBERG,102,4,614,Upperclass,false
1643,WENDELL,B204,1,139,Whitman College,true
1916,BUYERS,23,4,554,Rockefeller College,true
81,BLOOMBERG,306,1,139,Butler College,true
2397,JOLINE,121,4,426,Mathey College,true
2690,SCULLY,434,1,134,Upperclass,true
2315,LOCKHART,333,1,165,Upperclass,true
2231,HOLDER,43A,2,186,Rockefeller College,true
2531,1981,F205,1,115,Whitman College,true
1672,WENDELL,B421,1,195,Whitman College,true
1228,PYNE,612,1,176,Upperclass,true
2592,FORBES,A272,2,185,Forbes College,true
1329,SCULLY,254,1,166,Upperclass,true
2138,BLAIR,118,4,549,Mathey College,true
1866,FORBES,A371,2,291,Forbes College,true
1949,DOD,306,1,120,Upperclass,true
2404,2 DICKINSON,36,1,136,No Res College Associated,true
2547,1981,F415,1,146,Whitman College,true
1305,SCULLY,164,2,278,Upperclass,true
2792,1967,B111,4,522,Butler College,true
1831,BLOOMBERG,339,1,135,Butler College,true
2518,FISHER,A203,1,145,Whitman College,true
2768,BUYERS,T2,5,563,Rockefeller College,true
411,JOLINE,331,1,155,Mathey College,true
2897,FORBES,312,2,266,Forbes College,true
2770,BUYERS,22,2,593,Rockefeller College,true
2865,FORBES,232,2,220,Forbes College,true
1868,BAKER,E315,,,Whitman College,true
2918,WENDELL,B220,4,458,Whitman College,true
2020,WITHERSPOON,511,1,226,Rockefeller College,true
2614,FORBES,A175,2,195,Forbes College,true
2830,FORBES,172,2,292,Forbes College,true
1555,BAKER,E427,1,130,Whitman College,true
579,1901,121,1,122,Upperclass,false
630,1901,441,2,372,Upperclass,false
641,1903,132,2,318,Upperclass,false
664,1903,237,2,449,Upperclass,false
3218,KWANZA MARION JONES,C117,1,152,New College West,false
682,1903,422,2,495,Upperclass,false
3253,KWANZA MARION JONES,C513,1,152,New College West,false
3260,BAKER,E219,4,452,Whitman College,false
3243,KWANZA MARION JONES,C413A,1,160,New College West,false
1566,BAKER,S302,4,510,Whitman College,false
328,BLAIR,91,4,504,Mathey College,false
331,BLAIR,95,4,540,Mathey College,false
812,DOD,102,1,120,Upperclass,false
802,CUYLER,612,2,266,Upperclass,false
842,DOD,303,2,260,Upperclass,false
227,FORBES,255,2,346,Forbes College,false
1578,FISHER,A225,4,687,Whitman College,false
3263,FORBES,323,1,127,Forbes College,false
257,FORBES,A137,2,185,Forbes College,false
1864,FORBES,A327,2,288,Forbes College,false
301,FORBES,A332,2,184,Forbes College,false
274,FORBES,A234,2,180,Forbes College,false
1931,HENRY,217,2,392,Upperclass,false
488,HOLDER,27,4,620,Rockefeller College,false
2220,HOLDER,52,4,437,Rockefeller College,false
497,HOLDER,62,4,444,Rockefeller College,false
499,HOLDER,66,4,523,Rockefeller College,false
3264,LAURITZEN,D409,2,229,Whitman College,false
1025,LITTLE,101,4,512,Upperclass,false
1217,PYNE,438,2,239,Upperclass,false
1151,PYNE,124,2,438,Upperclass,false
1338,SCULLY,266,2,278,Upperclass,false
1306,SCULLY,166,2,278,Upperclass,false
790,CUYLER,422,3,396,Upperclass,false
410,JOLINE,323,3,421,Mathey College,false
408,JOLINE,313,3,409,Mathey College,false
891,FOULKE,203,3,463,Upperclass,false
1113,PATTON,73,3,443,Upperclass,false
469,BUYERS,B23,1,125,Rockefeller College,false
2879,FORBES,407,1,159,Forbes College,false
2609,FORBES,A240,1,171,Forbes College,false
1586,FISHER,A316,1,129,Whitman College,false
832,DOD,210,1,125,Upperclass,false
808,CUYLER,632,1,148,Upperclass,false
642,1903,133,1,233,Upperclass,false
667,1903,243,1,214,Upperclass,false
670,1903,312,1,172,Upperclass,false
648,1903,143,1,185,Upperclass,false
3151,ALIYA KANJI,B408,1,164,New College West,false
1564,BAKER,S204,1,202,Whitman College,false
688,1903,503,1,158,Upperclass,false
50,1976,D316,1,140,Butler College,false
49,1976,D314,1,139,Butler College,false
1195,PYNE,343,1,228,Upperclass,false
1385,SCULLY,373,1,166,Upperclass,false
1270,PYNE,735,1,251,Upperclass,false
1680,WENDELL,C207,1,146,Whitman College,false
1604,HARGADON,G402,1,128,Whitman College,false
1915,WITHERSPOON,514,1,115,Rockefeller College,false
1135,PATTON,T02,1,154,Upperclass,false
1778,FEINBERG,401,6,881,Upperclass,false
2560,FEINBERG,101,4,609,Upperclass,false
363,CAMPBELL,52B,1,118,Mathey College,false
85,BLOOMBERG,310,1,152,Butler College,true
2586,FORBES,A312,2,186,Forbes College,true
373,EDWARDS,113,1,156,Mathey College,true
2943,WENDELL,C422,1,172,Whitman College,true
2895,FORBES,315,2,263,Forbes College,true
896,FOULKE,214,1,183,Upperclass,true
2859,FORBES,259,2,293,Forbes College,true
2769,BUYERS,26,4,448,Rockefeller College,true
401,JOLINE,223,3,390,Mathey College,true
2767,BUYERS,15,4,443,Rockefeller College,true
2616,FORBES,A170,1,173,Forbes College,true
1289,SCULLY,125,1,166,Upperclass,true
2516,FISHER,A108,1,147,Whitman College,true
2126,BLAIR,42,2,232,Mathey College,true
218,FORBES,224,1,142,Forbes College,true
1912,WITHERSPOON,415,1,142,Rockefeller College,true
2762,BUYERS,14,4,444,Rockefeller College,true
156,BLOOMBERG,479,1,166,Butler College,true
2298,1901,611,1,230,Upperclass,true
2146,BLAIR,309,2,187,Mathey College,true
1327,SCULLY,250,1,166,Upperclass,true
2159,LITTLE,11,3,466,Mathey College,true
